approved_symbol,hgnc_id,evidence_count,source_count_percentile,pLI,oe_lof,lof_z,mis_z,omim_summary,gencc_summary,clingen_summary,clinvar,clinical_groups_p,onset_groups_p,syndromic_groups_p,mgi_phenotype,interaction_score,stringdb_interaction_sum_score,stringdb_interaction_normalized_score,stringdb_interaction_string,expression_score,gtex_kidney_medulla,gtex_kidney_cortex,descartes_kidney_tpm,cur_id
AGPAT2,325,3,1.63600601224932,0,0.93721,0.19935,-0.72172,"Lipodystrophy, congenital generalized, type 1[OMIM:608594]-Autosomal recessive inheritance","Limited (neonatal diabetes mellitus[MONDO:0016391]-Autosomal recessive) | Strong, Supportive (Berardinelli-Seip congenital lipodystrophy[MONDO:0018883]-Autosomal recessive)",NULL,P:23; LP:6; VUS:86,OMIM:608594 (tubulopathy: 0.133 | nephrocalcinosis: 0.125 | cakut: 0.012 | glomerulopathy: 0.011 | cancer: 0.01 | cyst_cilio: 0.005),OMIM:608594 (antenatal_or_congenital: 0.821 | neonatal_or_pediatric: 0.397),OMIM:608594 (syndromic: 0.025 | growth: 0.011 | skeletal: 0.011 | neurologic: 0.041),hm (true); ht (false),0,507,0.129979035639413,"9606.ENSP00000397908:338, 9606.ENSP00000334003:169",0.5,104.71799999999999,57.0291,19.3514720939169,cur_448
ARL3,694,2,1.291031617667523,0.001407,0.5559,1.352,1.1563,Retinitis pigmentosa 83[OMIM:618173]-Autosomal dominant inheritance | Joubert syndrome 35[OMIM:618161]-Autosomal recessive inheritance,"Strong (Joubert syndrome 17[MONDO:0013824]-Autosomal recessive) | Supportive (Joubert syndrome[MONDO:0018772]-Autosomal recessive) | Limited, Supportive (retinitis pigmentosa[MONDO:0019200]-Autosomal dominant) | Limited (retinitis pigmentosa 83[MONDO:0032577]-Autosomal dominant)",NULL,P:2; LP:0; VUS:65,OMIM:618161 (cakut: 0.089 | cancer: 0.03 | cyst_cilio: 0.021 | nephrocalcinosis: 0.007 | glomerulopathy: 0.002),OMIM:618173 (neonatal_or_pediatric: 0.2),OMIM:618161 (syndromic: 0.056 | skeletal: 0.007 | neurologic: 0.077),hm (true); ht (false),0.5,2993,0.5555555555555556,"9606.ENSP00000476176:218, 9606.ENSP00000347244:369, 9606.ENSP00000287600:660, 9606.ENSP00000338766:565, 9606.ENSP00000377769:467, 9606.ENSP00000340466:345, 9606.ENSP00000370719:369",0.5,18.9199,14.2689,65.8445974330618,cur_449
ATP7B,870,3,2.052177662169405,0,0.93189,0.44824,-0.88091,Wilson disease[OMIM:277900]-Autosomal recessive inheritance,"Definitive, Strong, Strong, Supportive (Wilson disease[MONDO:0010200]-Autosomal recessive)",Definitive (Wilson disease[MONDO:0010200]-AR),P:357; LP:341; VUS:670,OMIM:277900 (tubulopathy: 0.14 | nephrocalcinosis: 0.139 | cakut: 0.012 | glomerulopathy: 0.011 | cancer: 0.01 | cyst_cilio: 0.005),OMIM:277900 (neonatal_or_pediatric: 0.463 | adult: 0.422),OMIM:277900 (syndromic: 0.053 | skeletal: 0.017 | neurologic: 0.101),hm (false); ht (false),0,NULL,NULL,NULL,0.5,2.4062799999999998,2.1850400000000003,17.0691670120705,cur_450
AVIL,14188,3,1.898998438988785,NULL,NULL,NULL,NULL,"Nephrotic syndrome, type 21[OMIM:618594]-Autosomal recessive inheritance",NULL,NULL,P:3; LP:1; VUS:44,OMIM:618594 (glomerulopathy: 0.182 | cyst_cilio: 0.129 | tubulopathy: 0.042 | cakut: 0.036 | complement: 0.036 | nephrocalcinosis: 0.021 | cancer: 0.02),NULL,NULL,hm (false); ht (false),0,629,0.15723270440251572,"9606.ENSP00000482968:407, 9606.ENSP00000317469:222",0.5,4.34746,3.59124,14.455112852939,cur_451
BRAF,1097,4,2.755099232160259,NULL,NULL,NULL,NULL,"Melanoma, malignant, somatic[OMIM:155600]-NA | LEOPARD syndrome 3[OMIM:613707]-Autosomal dominant inheritance | Cardiofaciocutaneous syndrome[OMIM:115150]-Autosomal dominant inheritance | Adenocarcinoma of lung, somatic[OMIM:211980]-NA | Noonan syndrome 7[OMIM:613706]-Autosomal dominant inheritance | Colorectal cancer, somatic[OMIM:114500]-NA | Nonsmall cell lung cancer, somatic[OMIM:211980]-NA","Definitive, Definitive, Definitive, Strong (cardiofaciocutaneous syndrome 1[MONDO:0007265]-Autosomal dominant) | Limited, Supportive (Noonan syndrome with multiple lentigines[MONDO:0007893]-Autosomal dominant) | Disputed Evidence (Costello syndrome[MONDO:0009026]-Autosomal dominant) | Definitive, Definitive, Strong, Moderate (Noonan syndrome 7[MONDO:0013379]-Autosomal dominant) | Definitive, Strong, Limited (LEOPARD syndrome 3[MONDO:0013380]-Autosomal dominant) | Definitive, Supportive (cardiofaciocutaneous syndrome[MONDO:0015280]-Autosomal dominant) | Limited (anaplastic astrocytoma[MONDO:0016684]-Autosomal dominant) | Moderate (Noonan syndrome[MONDO:0018997]-Autosomal dominant)",Limited (Noonan syndrome with multiple lentigines[MONDO:0007893]-AD) | Disputed (Costello syndrome[MONDO:0009026]-AD) | Definitive (cardiofaciocutaneous syndrome[MONDO:0015280]-AD) | Moderate (Noonan syndrome[MONDO:0018997]-AD),P:94; LP:91; VUS:437,OMIM:114500 (cancer: 0.13 | cyst_cilio: 0.013 | tubulopathy: 0.007 | cakut: 0.004 | glomerulopathy: 0.002); OMIM:115150 (cakut: 0.073 | cancer: 0.02 | cyst_cilio: 0.013 | nephrocalcinosis: 0.007 | glomerulopathy: 0.002),OMIM:115150 (antenatal_or_congenital: 0.821); OMIM:613707 (neonatal_or_pediatric: 0.134),OMIM:115150 (syndromic: 0.166 | growth: 0.421 | skeletal: 0.153 | neurologic: 0.097); OMIM:613706 (syndromic: 0.119 | growth: 0.349 | skeletal: 0.101 | neurologic: 0.094); OMIM:613707 (syndromic: 0.09 | growth: 0.341 | skeletal: 0.047 | neurologic: 0.081),hm (false); ht (true),0,NULL,NULL,NULL,0.5,9.11994,5.39542,468.865476500813,cur_452
BSCL2,15832,2,1.3556712842158471,NULL,NULL,NULL,NULL,"Lipodystrophy, congenital generalized, type 2[OMIM:269700]-Autosomal recessive inheritance | Neuronopathy, distal hereditary motor, autosomal dominant 13[OMIM:619112]-Autosomal dominant inheritance | Silver spastic paraplegia syndrome[OMIM:270685]-Autosomal dominant inheritance | Encephalopathy, progressive, with or without lipodystrophy[OMIM:615924]-Autosomal recessive inheritance","Strong (congenital generalized lipodystrophy type 2[MONDO:0010020]-Autosomal recessive) | Supportive (hereditary spastic paraplegia 17[MONDO:0010043]-Autosomal dominant) | Supportive (severe neurodegenerative syndrome with lipodystrophy[MONDO:0014402]-Autosomal recessive) | Supportive (neuronopathy, distal hereditary motor, type 5A[MONDO:0015353]-Autosomal dominant) | Strong (neonatal diabetes mellitus[MONDO:0016391]-Autosomal recessive) | Supportive (Berardinelli-Seip congenital lipodystrophy[MONDO:0018883]-Autosomal recessive) | Definitive (distal hereditary motor neuropathy[MONDO:0018894]-Autosomal dominant) | Strong (generalized lipodystrophy[MONDO:0027766]-Autosomal recessive)",Definitive (distal hereditary motor neuropathy[MONDO:0018894]-AD),P:30; LP:16; VUS:234,OMIM:269700 (tubulopathy: 0.133 | nephrocalcinosis: 0.125 | cakut: 0.012 | glomerulopathy: 0.011 | cancer: 0.01 | cyst_cilio: 0.005),OMIM:269700 (antenatal_or_congenital: 0.821); OMIM:270685 (neonatal_or_pediatric: 0.2); OMIM:619112 (adult: 0.218 | neonatal_or_pediatric: 0.2),OMIM:269700 (syndromic: 0.009 | growth: 0.011 | skeletal: 0.011 | neurologic: 0.008); OMIM:270685 (syndromic: 0.016 | skeletal: 0.002 | neurologic: 0.033); OMIM:615924 (syndromic: 0.076 | neurologic: 0.159); OMIM:619112 (syndromic: 0.007 | neurologic: 0.014),hm (false); ht (false),0,546,0.14046121593291405,"9606.ENSP00000417052:197, 9606.ENSP00000397908:349",0.5,44.7818,31.2085,20.2644054911018,cur_453
C1QA,1241,3,2.1258728090123946,0.00382,0.54902,1.2611,1.2949,C1q deficiency 1[OMIM:613652]-Autosomal recessive inheritance,Moderate (C1Q deficiency[MONDO:0013343]-Autosomal recessive),NULL,P:4; LP:3; VUS:65,OMIM:613652 (complement: 0.071 | glomerulopathy: 0.011),NULL,NULL,hm (true); ht (false),0.5,1889,0.3941299790356394,"9606.ENSP00000313967:999, 9606.ENSP00000396688:163, 9606.ENSP00000366307:185, 9606.ENSP00000346839:292, 9606.ENSP00000385675:250",0.5,14.7666,8.38556,14.7089672398992,cur_454
C1QB,1242,2,1.1206708304064992,NULL,NULL,NULL,NULL,C1q deficiency 2[OMIM:620321]-NA,Definitive (C1Q deficiency[MONDO:0013343]-Autosomal recessive),Definitive (C1Q deficiency[MONDO:0013343]-AR),P:3; LP:1; VUS:39,NULL,OMIM:620321 (neonatal_or_pediatric: 0.262),OMIM:620321 (syndromic: 0.001 | skeletal: 0.003),hm (false); ht (false),0.5,2556,0.5052410901467506,"9606.ENSP00000256474:321, 9606.ENSP00000346839:315, 9606.ENSP00000363773:999, 9606.ENSP00000252486:416, 9606.ENSP00000314299:236, 9606.ENSP00000396688:269",0,NULL,NULL,7.23415834573947,cur_455
C4A,1323,2,1.3151013436263954,0,0.96525,0.13512,1.9202,"[Blood group, Rodgers][OMIM:614374]-NA | C4a deficiency[OMIM:614380]-Autosomal recessive inheritance",Moderate (complement component 4a deficiency[MONDO:0013721]-Autosomal recessive),NULL,P:1; LP:0; VUS:18,OMIM:614380 (complement: 0.036 | glomerulopathy: 0.016 | cyst_cilio: 0.003),NULL,NULL,hm (true); ht (true),0.5,7329,0.8280922431865828,"9606.ENSP00000368632:363, 9606.ENSP00000308938:267, 9606.ENSP00000356399:749, 9606.ENSP00000366307:227, 9606.ENSP00000313875:994, 9606.ENSP00000363773:163, 9606.ENSP00000297261:405, 9606.ENSP00000384092:185, 9606.ENSP00000236850:414, 9606.ENSP00000416561:681, 9606.ENSP00000296280:345, 9606.ENSP00000313967:269, 9606.ENSP00000314299:243, 9606.ENSP00000322323:499, 9606.ENSP00000245907:988, 9606.ENSP00000356386:243, 9606.ENSP00000381448:294",0,2.69424,8.200560000000001,NULL,cur_456
CCND1,1582,2,2.020077678364819,0.89057,0.086423,2.8797,1.4216,"{von Hippel-Lindau syndrome, modifier of}[OMIM:193300]-Autosomal dominant inheritance | {Colorectal cancer, susceptibility to}[OMIM:114500]-Autosomal dominant inheritance | {Colorectal cancer, susceptibility to}[OMIM:114500]-Somatic mutation | {Multiple myeloma, susceptibility to}[OMIM:254500]-Somatic mutation",NULL,NULL,P:0; LP:0; VUS:8,OMIM:114500 (cancer: 0.13 | cyst_cilio: 0.013 | tubulopathy: 0.007 | cakut: 0.004 | glomerulopathy: 0.002); OMIM:193300 (cancer: 0.14 | cyst_cilio: 0.018 | tubulopathy: 0.007 | cakut: 0.004 | glomerulopathy: 0.002),OMIM:193300 (adult: 0.372); OMIM:254500 (adult: 0.218),OMIM:193300 (syndromic: 0 | neurologic: 0.001),hm (false); ht (false),1,8788,0.859538784067086,"9606.ENSP00000368632:410, 9606.ENSP00000219476:457, 9606.ENSP00000287647:163, 9606.ENSP00000295108:292, 9606.ENSP00000217086:302, 9606.ENSP00000297185:163, 9606.ENSP00000289081:154, 9606.ENSP00000369497:511, 9606.ENSP00000357283:204, 9606.ENSP00000228872:999, 9606.ENSP00000317674:158, 9606.ENSP00000413720:965, 9606.ENSP00000262367:963, 9606.ENSP00000254958:340, 9606.ENSP00000256078:262, 9606.ENSP00000367203:169, 9606.ENSP00000310842:163, 9606.ENSP00000362680:286, 9606.ENSP00000265351:163, 9606.ENSP00000358866:396, 9606.ENSP00000215832:320, 9606.ENSP00000437256:330, 9606.ENSP00000269305:292, 9606.ENSP00000252934:163, 9606.ENSP00000347717:163",0.5,30.299,17.8658,179.583765531219,cur_457
CDKN1C,1786,4,2.282087926000236,NULL,NULL,NULL,NULL,IMAGE syndrome[OMIM:614732]-Autosomal dominant inheritance | Beckwith-Wiedemann syndrome[OMIM:130650]-Autosomal dominant inheritance,"Moderate (rhabdomyosarcoma[MONDO:0005212]-Autosomal dominant) | Definitive, Definitive, Strong (Beckwith-Wiedemann syndrome[MONDO:0007534]-Autosomal dominant) | Definitive (Beckwith-Wiedemann syndrome[MONDO:0007534]-Autosomal dominant inheritance with paternal imprinting) | Limited (Silver-Russell syndrome[MONDO:0008394]-Autosomal dominant) | Definitive, Moderate, Moderate, Supportive (IMAGe syndrome[MONDO:0013873]-Autosomal dominant) | Definitive (IMAGe syndrome[MONDO:0013873]-Autosomal dominant inheritance with paternal imprinting) | Supportive (Beckwith-Wiedemann syndrome due to CDKN1C mutation[MONDO:0016476]-Autosomal dominant) | Supportive (intrauterine growth restriction-short stature-early adult-onset diabetes syndrome[MONDO:0018573]-Autosomal dominant)",NULL,P:84; LP:14; VUS:458,OMIM:130650 (nephrocalcinosis: 0.299 | tubulopathy: 0.259 | cancer: 0.18 | cakut: 0.101 | cyst_cilio: 0.039 | glomerulopathy: 0.038 | complement: 0.036),NULL,OMIM:130650 (syndromic: 0.011 | growth: 0.014 | skeletal: 0.012 | neurologic: 0.002); OMIM:614732 (syndromic: 0.057 | growth: 0.135 | skeletal: 0.04 | neurologic: 0.053),hm (true); ht (true),0.5,3310,0.6037735849056604,"9606.ENSP00000227507:965, 9606.ENSP00000451828:292, 9606.ENSP00000269305:292, 9606.ENSP00000228872:905, 9606.ENSP00000256474:292, 9606.ENSP00000295108:564",0.5,41.3427,89.5923,105.023016046129,cur_458
CEP19,28209,2,1.1689330543933054,0.015687,0.47679,1.4043,-0.13605,Morbid obesity and spermatogenic failure[OMIM:615703]-Autosomal recessive inheritance,"Strong, Supportive (obesity due to CEP19 deficiency[MONDO:0014309]-Autosomal recessive) | Supportive (Bardet-Biedl syndrome[MONDO:0015229]-Autosomal recessive)",NULL,P:1; LP:0; VUS:73,NULL,NULL,OMIM:615703 (syndromic: 0.021 | growth: 0.043 | neurologic: 0.04),hm (false); ht (false),0,NULL,NULL,NULL,0,2.55039,1.96105,4.67735586548285,cur_459
CFTR,1884,2,1.776063991340392,0,1.0903,-0.73413,-3.1397,"Cystic fibrosis[OMIM:219700]-Autosomal recessive inheritance | Congenital bilateral absence of vas deferens[OMIM:277180]-Autosomal recessive inheritance | {Pancreatitis, hereditary}[OMIM:167800]-Autosomal dominant inheritance | {Bronchiectasis with or without elevated sweat chloride 1, modifier of}[OMIM:211400]-Autosomal dominant inheritance","Limited (hereditary chronic pancreatitis[MONDO:0008185]-Autosomal dominant) | Definitive, Definitive, Supportive (cystic fibrosis[MONDO:0009061]-Autosomal recessive) | Supportive (congenital bilateral absence of vas deferens[MONDO:0018801]-Autosomal recessive)",NULL,P:865; LP:333; VUS:1592,NULL,OMIM:219700 (neonatal_or_pediatric: 0.665),OMIM:167800 (syndromic: 0 | skeletal: 0); OMIM:219700 (syndromic: 0.01 | growth: 0.171 | skeletal: 0.003),hm (false); ht (false),0.5,4614,0.71698113207547165,"9606.ENSP00000216181:315, 9606.ENSP00000360183:379, 9606.ENSP00000256078:165, 9606.ENSP00000358866:944, 9606.ENSP00000285379:449, 9606.ENSP00000376432:735, 9606.ENSP00000262613:999, 9606.ENSP00000300061:228, 9606.ENSP00000264896:400",0,0.324831,0.959175,3.02231860219801,cur_460
CISD2,24212,2,0.9911087866108786,0.41583,0.19223,1.7073,1.2696,Wolfram syndrome 2[OMIM:604928]-Autosomal recessive inheritance,"Strong, Strong, Strong, Strong, Moderate (Wolfram syndrome 2[MONDO:0011502]-Autosomal recessive) | Strong, Supportive (Wolfram syndrome[MONDO:0018105]-Autosomal recessive)",Strong (Wolfram syndrome[MONDO:0018105]-AR),P:2; LP:0; VUS:20,NULL,NULL,OMIM:604928 (syndromic: 0.002 | neurologic: 0.004),hm (true); ht (false),0.5,1012,0.24109014675052412,"9606.ENSP00000357998:165, 9606.ENSP00000364699:409, 9606.ENSP00000357048:193, 9606.ENSP00000356953:245",0.5,13.2098,12.4182,20.0016396053531,cur_461
COPA,2230,2,1.4636184891314927,NULL,NULL,NULL,NULL,"{Autoimmune interstitial lung, joint, and kidney disease}[OMIM:616414]-Autosomal dominant inheritance","Strong, Supportive (autoimmune interstitial lung disease-arthritis syndrome[MONDO:0014629]-Autosomal dominant)",NULL,P:4; LP:2; VUS:215,OMIM:616414 (glomerulopathy: 0.013),OMIM:616414 (neonatal_or_pediatric: 0.262),OMIM:616414 (syndromic: 0.001 | skeletal: 0.003),hm (false); ht (false),0.5,2115,0.4276729559748428,"9606.ENSP00000362413:156, 9606.ENSP00000205557:292, 9606.ENSP00000359297:181, 9606.ENSP00000340466:193, 9606.ENSP00000322323:292, 9606.ENSP00000417132:292, 9606.ENSP00000273986:193, 9606.ENSP00000349823:224, 9606.ENSP00000356319:292",0.5,52.9094,33.8606,130.891228414305,cur_462
COX14,28216,2,1.1309261498321586,0.3573,0,0.76924,-0.059703,"?Mitochondrial complex IV deficiency, nuclear type 10[OMIM:619053]-Autosomal recessive inheritance","Limited, Supportive (cytochrome-c oxidase deficiency disease[MONDO:0009068]-Autosomal recessive) | Limited (mitochondrial disease[MONDO:0044970]-Autosomal recessive)",Limited (mitochondrial disease[MONDO:0044970]-AR),P:1; LP:1; VUS:12,OMIM:619053 (cakut: 0.089 | cyst_cilio: 0.037 | cancer: 0.03 | tubulopathy: 0.007 | glomerulopathy: 0.004),NULL,OMIM:619053 (syndromic: 0.009 | neurologic: 0.003),hm (NA); ht (NA),0,NULL,NULL,NULL,0.5,97.1587,74.1072,12.2771781512994,cur_463
CREBBP,2348,3,2.0674855512615,1,0.025349,9.8253,3.8991,Menke-Hennekam syndrome 1[OMIM:618332]-Autosomal dominant inheritance | Rubinstein-Taybi syndrome 1[OMIM:180849]-Autosomal dominant inheritance,"Definitive, Definitive, Strong (Rubinstein-Taybi syndrome due to CREBBP mutations[MONDO:0008393]-Autosomal dominant) | Definitive, Definitive (Rubinstein-Taybi syndrome[MONDO:0019188]-Autosomal dominant) | Strong (Menke-Hennekam syndrome 1[MONDO:0020763]-Autosomal dominant)",Definitive (Rubinstein-Taybi syndrome[MONDO:0019188]-AD),P:285; LP:128; VUS:551,OMIM:180849 (cakut: 0.073 | cancer: 0.02 | cyst_cilio: 0.013 | nephrocalcinosis: 0.007 | glomerulopathy: 0.002),OMIM:180849 (antenatal_or_congenital: 0.821 | neonatal_or_pediatric: 0.402),OMIM:180849 (syndromic: 0.251 | growth: 0.6 | skeletal: 0.242 | neurologic: 0.222); OMIM:618332 (syndromic: 0.149 | skeletal: 0.11 | neurologic: 0.098),hm (false); ht (false),1,14514,0.9811320754716981,"9606.ENSP00000379258:457, 9606.ENSP00000381098:292, 9606.ENSP00000367203:357, 9606.ENSP00000362680:888, 9606.ENSP00000260010:292, 9606.ENSP00000362410:348, 9606.ENSP00000480291:581, 9606.ENSP00000245479:536, 9606.ENSP00000228606:457, 9606.ENSP00000295108:328, 9606.ENSP00000304286:158, 9606.ENSP00000291582:578, 9606.ENSP00000256646:563, 9606.ENSP00000231509:630, 9606.ENSP00000301067:150, 9606.ENSP00000269305:999, 9606.ENSP00000350815:292, 9606.ENSP00000393312:753, 9606.ENSP00000451828:523, 9606.ENSP00000405890:300, 9606.ENSP00000215832:653, 9606.ENSP00000368632:457, 9606.ENSP00000256474:165, 9606.ENSP00000312987:823, 9606.ENSP00000262518:750, 9606.ENSP00000287820:992, 9606.ENSP00000227507:963, 9606.ENSP00000479904:229",0.5,10.4085,8.516760000000001,377.985006402678,cur_464
CYP11A1,2590,2,0.9911087866108786,1e-6,0.56386,2.0138,0.76894,"Adrenal insufficiency, congenital, with 46XY sex reversal, partial or complete[OMIM:613743]-NA","Supportive (Congenital adrenal insuffiency with 46, XY sex reversal OR 46,XY disorder of sex development-adrenal insufficiency due to CYP11A1 deficiency[MONDO:0013400]-Autosomal dominant) | Strong (Congenital adrenal insuffiency with 46, XY sex reversal OR 46,XY disorder of sex development-adrenal insufficiency due to CYP11A1 deficiency[MONDO:0013400]-Autosomal recessive) | Supportive (inherited isolated adrenal insufficiency due to partial CYP11A1 deficiency[MONDO:0017337]-Autosomal recessive)",NULL,P:15; LP:5; VUS:42,NULL,NULL,OMIM:613743 (syndromic: 0 | neurologic: 0),hm (false); ht (false),0,191,0.03773584905660377,9606.ENSP00000290167:191,0,0.645841,0.438187,1.64582001548279,cur_465
DACH1,2663,3,1.832628712468154,NULL,NULL,NULL,NULL,NULL,NULL,NULL,P:0; LP:0; VUS:23,NULL,NULL,NULL,hm (false); ht (false),0.5,1095,0.2557651991614256,"9606.ENSP00000324856:191, 9606.ENSP00000269305:515, 9606.ENSP00000216911:199, 9606.ENSP00000251020:190",1,3.9576300000000004,6.30138,2127.42697587239,cur_466
DIS3L2,28648,2,1.3304203399936725,0.944,0.18027,5.0603,0.94426,Perlman syndrome[OMIM:267000]-Autosomal recessive inheritance,"Definitive, Definitive, Strong, Supportive (Perlman syndrome[MONDO:0009965]-Autosomal recessive)",Definitive (Perlman syndrome[MONDO:0009965]-AR),P:46; LP:21; VUS:1076,OMIM:267000 (cancer: 0.13 | complement: 0.036 | cakut: 0.008 | glomerulopathy: 0.007),NULL,OMIM:267000 (syndromic: 0.051 | growth: 0.016 | skeletal: 0.027 | neurologic: 0.057),hm (true); ht (false),0,324,0.07966457023060797,"9606.ENSP00000269305:163, 9606.ENSP00000281043:161",0.5,5.25536,4.27599,153.51120820152,cur_467
DNAAF1,30539,2,1.4943216373088812,0,0.70022,1.5571,-1.9871,"Ciliary dyskinesia, primary, 13[OMIM:613193]-Autosomal recessive inheritance","Definitive, Strong (primary ciliary dyskinesia 13[MONDO:0013174]-Autosomal recessive) | Supportive (primary ciliary dyskinesia[MONDO:0016575]-Autosomal dominant)",Definitive (primary ciliary dyskinesia 13[MONDO:0013174]-AR),P:33; LP:5; VUS:246,NULL,NULL,OMIM:613193 (syndromic: 0.001 | skeletal: 0.004),hm (false); ht (false),0,330,0.08385744234800839,"9606.ENSP00000231509:165, 9606.ENSP00000349658:165",0,2.73191,1.1759899999999999,4.4605727498667,cur_468
DNASE1L3,2959,3,1.540822921661252,NULL,NULL,NULL,NULL,Systemic lupus erythematosus 16[OMIM:614420]-Autosomal recessive inheritance,"Supportive (autosomal systemic lupus erythematosus type 16[MONDO:0013743]-Autosomal dominant) | Strong, Moderate (autosomal systemic lupus erythematosus type 16[MONDO:0013743]-Autosomal recessive) | Supportive (hypocomplementemic urticarial vasculitis[MONDO:0018227]-Autosomal recessive)",NULL,P:6; LP:3; VUS:96,OMIM:614420 (glomerulopathy: 0.004),OMIM:614420 (neonatal_or_pediatric: 0.463),NULL,hm (false); ht (false),0,NULL,NULL,NULL,0,29.0846,14.6321,1.51536898731858,cur_469
EBP,3133,3,1.997978215102004,0.93645,0,2.7419,1.4942,"MEND syndrome[OMIM:300960]-X-linked recessive inheritance | Chondrodysplasia punctata, X-linked dominant[OMIM:302960]-X-linked dominant inheritance","Definitive, Strong, Moderate, Supportive (MEND syndrome[MONDO:0010498]-X-linked) | Definitive, Strong, Supportive (X-linked chondrodysplasia punctata 2[MONDO:0020603]-X-linked) | Definitive (chondrodysplasia punctata 2, X-linked dominant[MONDO:0026782]-X-linked) | Definitive (chondrodysplasia punctata 2, X-linked dominant[MONDO:0026782]-X-linked dominant)",Definitive (MEND syndrome[MONDO:0010498]-XL),P:46; LP:25; VUS:29,OMIM:300960 (cakut: 0.012); OMIM:302960 (cakut: 0.073 | cancer: 0.02 | cyst_cilio: 0.013 | nephrocalcinosis: 0.007 | glomerulopathy: 0.002),OMIM:302960 (antenatal_or_congenital: 0.821),OMIM:300960 (syndromic: 0.137 | growth: 0.421 | skeletal: 0.065 | neurologic: 0.156); OMIM:302960 (syndromic: 0.056 | growth: 0.222 | skeletal: 0.101 | neurologic: 0.016),hm (true); ht (true),0.5,1702,0.3689727463312369,"9606.ENSP00000347717:292, 9606.ENSP00000346829:457, 9606.ENSP00000315011:323, 9606.ENSP00000354032:197, 9606.ENSP00000308122:243, 9606.ENSP00000296387:190",0.5,22.8874,20.51,14.4198445660662,cur_470
EDNRA,3179,3,1.761672017112028,NULL,NULL,NULL,NULL,"{Migraine, resistance to}[OMIM:157300]-Autosomal dominant inheritance | Mandibulofacial dysostosis with alopecia[OMIM:616367]-Autosomal dominant inheritance","Definitive, Strong, Moderate, Supportive (mandibulofacial dysostosis with alopecia[MONDO:0014608]-Autosomal dominant)",NULL,P:2; LP:0; VUS:26,OMIM:616367 (cakut: 0.024 | cyst_cilio: 0.005),OMIM:616367 (antenatal_or_congenital: 0.821),OMIM:157300 (syndromic: 0.002 | neurologic: 0.005); OMIM:616367 (syndromic: 0.025 | skeletal: 0.032),hm (false); ht (false),0.5,1600,0.3584905660377358,"9606.ENSP00000417052:323, 9606.ENSP00000355627:693, 9606.ENSP00000362680:292, 9606.ENSP00000078429:292",0.5,6.51635,2.6903599999999996,193.848308025583,cur_471
EIF2AK3,3255,4,2.212527256544169,0.00276,0.28878,4.75,2.0329,Wolcott-Rallison syndrome[OMIM:226980]-Autosomal recessive inheritance,"Definitive, Definitive, Strong, Strong, Supportive (Wolcott-Rallison syndrome[MONDO:0009192]-Autosomal recessive)",NULL,P:25; LP:8; VUS:290,OMIM:226980 (nephrocalcinosis: 0.111 | tubulopathy: 0.105 | glomerulopathy: 0.082 | complement: 0.071 | cyst_cilio: 0.068 | cakut: 0.04 | cancer: 0.02),OMIM:226980 (neonatal_or_pediatric: 0.402),OMIM:226980 (syndromic: 0.082 | growth: 0.25 | skeletal: 0.092 | neurologic: 0.08),hm (false); ht (false),0.5,1258,0.29979035639413,"9606.ENSP00000357998:235, 9606.ENSP00000346839:400, 9606.ENSP00000287820:331, 9606.ENSP00000451828:292",0.5,6.32066,4.56876,125.507731133187,cur_472
ELP1,5959,4,2.1042636582178096,0,0.57662,3.5421,-0.07981,"{Medulloblastoma}[OMIM:155255]-Autosomal dominant inheritance | {Medulloblastoma}[OMIM:155255]-Autosomal recessive inheritance | {Medulloblastoma}[OMIM:155255]-Somatic mutation | Dysautonomia, familial[OMIM:223900]-Autosomal recessive inheritance",Limited (medulloblastoma[MONDO:0007959]-Autosomal dominant) | Supportive (Riley-Day syndrome[MONDO:0009131]-Autosomal recessive) | Definitive (primary dysautonomia[MONDO:0021809]-Autosomal recessive),NULL,P:100; LP:133; VUS:638,OMIM:223900 (glomerulopathy: 0.018 | nephrocalcinosis: 0.007 | tubulopathy: 0.007 | cyst_cilio: 0.005),OMIM:223900 (antenatal_or_congenital: 0.821),OMIM:155255 (syndromic: 0 | neurologic: 0.001); OMIM:223900 (syndromic: 0.021 | growth: 0.091 | skeletal: 0.037 | neurologic: 0.012),hm (false); ht (false),0.5,1386,0.32075471698113206,"9606.ENSP00000356319:292, 9606.ENSP00000358866:292, 9606.ENSP00000288235:345, 9606.ENSP00000414398:292, 9606.ENSP00000231509:165",0,NULL,NULL,NULL,cur_473
